,title,casts,description
30,我不是黄飞鸿,"严丰,罗家英,张冰倩,胡蒲,屠夏岩,张琛",简介：都市青年黄辉冯靠与父亲演双簧，售卖祖上假药方维持生计，某日骗局败露，意外穿越至晚清，阴差阳错间被当做黄飞鸿留在了宝芝林。当时广州城正在遭受鸦片的毒害，知府佟甲勾...详情
31,追龙Ⅱ,"梁家辉,古天乐,林家栋,邱意浓,叶相明,任达华,杜江,余安安,韦家雄,陈伟雄,黄竣锋,王宝葆","简介：悍匪龙志强，在香港回归前，趁香港英政府不作为，而屡犯巨案，先后绑架富豪利家及雷家之长子，勒索超过二十亿元，事主怕被报复, 交赎款后都不敢报警。中国公安部极为关注...详情"
32,伦敦陷落,"杰拉德·巴特勒,阿伦·伊克哈特,摩根·弗里曼,",简介：班宁（杰拉德·巴特勒 Gerard Butler 饰）是美国特勤局的特工，最近，他接到了一个重要的任务，那就是联手局长琳（安吉拉·贝塞特 Angela Bass...详情
33,王牌逗王牌,"刘德华,黄晓明,王祖蓝,",简介：囧探宝爷与侠盗洛家豪强强联手，与世界恐怖组织抢夺“上帝种子”，所谓“上帝种子”是一种神奇的种子，无论丢在哪里，只需要一点水，就可以迅速长出参天大树。而唯恐天下不...详情
34,蛇王,"陈信喆,康宁,高子健",简介：木生、静兰、四眼等一行人因一次意外的动乱聚集到蛇王谷，唯有蛇王谷深处的蛇腥花能阻止一切悲剧的发生，在蛇王谷中，一行人从陌生到扶持，最终领悟了”万物共生“的真谛。...详情
35,扫毒,"古天乐,张家辉,刘青云,袁泉,卢海鹏,吴廷烨,林国斌,卢惠光,吴岱融,宝儿,马浴柯,释彦能,罗兰,李兆基,维他亚·潘斯林加姆",简介：从小一起长大的好兄弟马昊天（刘青云 饰）、张子伟（张家辉 饰）和 苏建秋（古天乐 饰）共同效力于警队扫毒科。在一次临时改变计划的行动后，建秋因为卧底身份不能与妻...详情
36,的士速递5,"弗兰克·盖思堂彼得,马利克·班泽拉,伯纳尔·法西,塞尔维托·埃斯波西多","简介：巴黎警官西尔万(弗兰克·盖思堂彼得 饰)因执行任务的方式过于激进,被调任马赛 社区警局。赴任第一天,便遇到意大利超跑帮抢劫珠宝,劫匪驾驶着法拉利风驰电 掣,让西...详情"
37,战狼2,"吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗,丁海峰,淳于珊珊",简介：　　故事发生在非洲附近的大海上，主人公冷锋（吴京 饰）遭遇人生滑铁卢，被“开除军籍”，本想漂泊一生的他，正当他打算这么做的时候，一场突如其来的意外打破了他的计划...详情
38,致命螺旋,"Anatoliy,Rudenko,Konstantin,Kryukov,Klarissa,Barskaya",简介：阿列克谢是个年轻的、有天赋的程序员，离开了他的家乡，来到了迷人的莫斯科，在那里，他加入了半合法的极端游戏俱乐部“致命螺旋”。他总是很幸运的赢得一场场的比赛，并且...详情
39,快闪部队2：核危机,"Vasko,Mavrikov,Evgeni,Budinov,Ivelin,Naydenov,Bashar,Rahal",简介：在城市里，有一种人他们过着隐蔽的生活，他们不是坏人，他们只是暗中保护这座城市安全的小分队——快闪部队。当然，他们的工作要求他们会遇到很多麻烦，这次小分队任务来了...详情
